LINK,sector,name,code
https://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01,financegeneral,EC01,edelweissfinancialservices
https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM,autolcvshcvs,EM,eichermotors
https://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID,sugar,EID,eidparryindia
https://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH,hotels,EIH,eih
https://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06,personalcare,E06,emami
https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,auto23wheelers,ET01,endurancetechnologies
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,infrastructuregeneral,EI14,engineersindia
https://www.moneycontrol.com/india/stockpricequote/financegeneral/equitasholdings/EH03,financegeneral,EH03,equitasholdings
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/erislifesciences/EL01,pharmaceuticals,EL01,erislifesciences
https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/esabindia/EI06,electrodesgraphite,EI06,esabindia
https://www.moneycontrol.com/india/stockpricequote/autotractors/escorts/E,autotractors,E,escorts
https://www.moneycontrol.com/india/stockpricequote/packaging/esselpropack/EP11,packaging,EP11,esselpropack
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,autoancillaries,EI,exideindustries
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,pharmaceuticals,FDC,fdc
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB,banksprivatesector,FB,federalbank
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fineorganicsindustries/FOI,miscellaneous,FOI,fineorganicsindustries
https://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01,cablestelephone,FC01,finolexcables
https://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI,petrochemicals,FI,finolexindustries
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07,computerssoftwaremediumsmall,FS07,firstsourcesolutions
https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01,autolcvshcvs,FM01,forcemotors
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH,hospitalsmedicalservices,FH,fortishealthcare
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI,foodprocessing,FVI,futureconsumer
https://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,retail,FLF01,futurelifestylefashions
https://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR,retail,FR,futureretail
https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI,oildrillingandexploration,GAI,gailindia
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06,miscellaneous,GSL06,galaxysurfactantsltd
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gardenreachshipbuildersengineers/GRS01,engineeringheavy,GRS01,gardenreachshipbuildersengineers
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/garwaretechnicalfibres/GWR,textilesgeneral,GWR,garwaretechnicalfibres
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01,miscellaneous,GD01,gatewaydistriparks
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10,constructioncontractingcivil,GP10,gayatriprojects
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29,powertransmissionequipment,AP29,gepowerindia
