Link,Market Cap (Rs Cr.),P/E,Book Value (Rs),Dividend (%),Market Lot,Industry P/E,EPS (TTM),P/C,Price/Book,Dividend Yield.(%),Face Value (RS),Deliverables (%)
https://www.moneycontrol.com/india/stockpricequote/shipping/shippingcorporationindia/SCI,"1,872.51",7.96,149.88,0.00,1,7.42,5.04,2.09,0.27,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
34.17


5-Day
24.43


8-Day
28.07





35.18
"
https://www.moneycontrol.com/india/stockpricequote/retail/shoppersstop/SS51,"1,416.64",424.61,111.09,15.00,1,87.20,0.38,10.26,1.45,0.47,5.00,"
 

DELIVERY AVERAGES (%)



3-Day
51.09


5-Day
55.42


8-Day
47.40





54.25
"
https://www.moneycontrol.com/india/stockpricequote/cementmajor/shreecements/SC12,"68,968.89",43.95,3585.41,1100.00,1,28.54,435.18,21.11,5.33,0.58,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
18.19


5-Day
18.36


8-Day
22.20





17.29
"
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramcityunionfinance/SCU,"4,745.87",4.32,930.64,220.00,1,23.11,159.91,4.2,0.74,3.18,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
57.30


5-Day
56.23


8-Day
71.42





64.65
"
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramtransportfinancecorporation/STF,"15,190.93",5.03,697.99,120.00,1,23.11,133.31,4.96,0.96,1.79,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
9.10


5-Day
9.81


8-Day
12.07





12.52
"
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S,"36,146.21",32.23,253.95,350.00,1,41.62,31.5,27,4.00,0.69,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
32.96


5-Day
32.01


8-Day
30.98





36.04
"
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/securityintelligenceservicesindia/SIS08,"5,522.82",64.4,51.69,40.00,1,23.05,5.89,39.8,7.29,0.53,5.00,"
 

DELIVERY AVERAGES (%)



3-Day
43.63


5-Day
44.97


8-Day
43.31





63.87
"
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sjvn/S11,"8,193.62",4.79,28.60,21.50,1,8.63,4.35,3.9,0.73,10.31,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
70.15


5-Day
67.22


8-Day
64.91





75.89
"
https://www.moneycontrol.com/india/stockpricequote/bearings/skfindia/SKF01,"7,113.38",24.65,385.38,1300.00,1,25.74,58.48,20.59,3.73,9.03,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
73.79


5-Day
82.44


8-Day
82.83





91.99
"
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sobha/SD6,"1,859.45",5.28,219.03,70.00,1,13.43,37.03,4.53,0.90,3.57,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
76.69


5-Day
78.33


8-Day
77.12





77.01
"
https://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,"7,783.05",34.14,97.81,350.00,1,38.49,25.09,30.28,8.79,0.81,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
53.12


5-Day
83.59


8-Day
75.14





72.83
"
https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/somanyceramics/SC49,402.60,9.57,139.70,100.00,1,18.86,9.91,5.5,0.68,2.11,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
69.23


5-Day
71.30


8-Day
53.85





81.08
"
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/sonatasoftware/SS42,"2,075.32",11.73,50.71,1275.00,1,18.35,16.83,11.33,3.89,6.46,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
36.43


5-Day
33.97


8-Day
37.61





44.65
"
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB,975.44,3.04,28.16,25.00,1,22.29,1.76,2.49,0.19,4.64,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
46.27


5-Day
44.55


8-Day
49.98





52.69
"
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01,"2,577.33",-,-5.84,0.00,1,205.57,-,13.9,-,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
52.67


5-Day
49.49


8-Day
50.77





46.33
"
https://www.moneycontrol.com/india/stockpricequote/diversified/srf/SRF,"20,321.08",21.07,681.56,120.00,1,39.73,167.87,15.73,5.19,0.34,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
24.03


5-Day
20.42


8-Day
17.49





31.34
"
https://www.moneycontrol.com/india/stockpricequote/cementmajor/starcement/SFC02,"2,887.00",12.71,25.47,0.00,1,28.54,5.47,10.54,2.75,-,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
61.57


5-Day
68.13


8-Day
60.20





63.64
"
https://www.moneycontrol.com/india/stockpricequote/cablestelephone/sterlitetechnologies/ST20,"3,906.32",7.04,39.32,175.00,1,7.02,13.75,5.41,2.46,3.62,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
28.77


5-Day
29.10


8-Day
31.55





32.11
"
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/stridespharmascience/SA10,"3,668.60",19.92,363.62,30.00,1,35.58,20.56,13.73,1.13,0.73,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
14.92


5-Day
16.72


8-Day
22.08





22.88
"
https://www.moneycontrol.com/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08,"2,529.91",19.96,86.47,300.00,1,14.86,18.36,13.21,4.23,1.64,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
42.16


5-Day
44.62


8-Day
43.93





44.68
"
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI,"111,293.15",35.63,95.21,275.00,1,35.58,13.02,30.28,4.87,0.59,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
21.27


5-Day
23.24


8-Day
24.85





20.07
"
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaadvancedresearchcompany/SPA,"3,431.51",-,11.30,0.00,1,36.74,-,-,11.59,-,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
23.25


5-Day
23.11


8-Day
28.36





32.58
"
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/suntvnetwork/STN01,"16,106.24",11.45,138.05,250.00,1,13.66,35.65,7.84,2.96,3.06,5.00,"
 

DELIVERY AVERAGES (%)



3-Day
11.78


5-Day
11.88


8-Day
16.04





14.86
"
https://www.moneycontrol.com/india/stockpricequote/fasteners/sundramfasteners/SF23,"6,387.90",16.49,90.76,510.00,1,15.67,17.93,12.77,3.35,1.68,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
40.51


5-Day
44.40


8-Day
58.54





62.30
"
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sunteckrealty/SR05,"2,419.53",19.26,120.74,150.00,1,13.43,8.6,19.01,1.37,0.91,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
31.50


5-Day
30.36


8-Day
34.68





31.96
"
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/suprajitengineering/SE15,"1,608.53",11.53,50.12,155.00,1,13.55,9.96,10.06,2.29,1.35,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
62.97


5-Day
65.79


8-Day
70.57





70.21
"
https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,"11,927.82",25.93,156.87,650.00,1,20.64,35.93,18.49,5.99,1.38,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
53.80


5-Day
79.73


8-Day
74.03





60.28
"
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/suzlonenergy/SE17,"1,335.26",-,-13.26,0.00,1,9.63,-,-,-,-,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
40.73


5-Day
45.75


8-Day
48.54





36.06
"
https://www.moneycontrol.com/india/stockpricequote/trading/swanenergy/SM09,"2,442.57",-,39.35,10.00,1,19.48,-,-,2.54,0.10,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
24.44


5-Day
20.13


8-Day
24.66





24.95
"
https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/symphony/SCS04,"5,808.18",36.41,95.61,225.00,1,61.47,22.87,35.46,8.68,0.54,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
47.76


5-Day
46.74


8-Day
47.89





46.17
"
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/syngeneinternational/SI10,"12,960.00",32.68,49.18,5.00,1,36.74,9.78,23.01,6.59,0.15,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
55.19


5-Day
52.01


8-Day
53.81





70.70
"
https://www.moneycontrol.com/india/stockpricequote/paper/tamilnadunewsprintpapers/TNN,614.94,4.32,238.62,75.00,1,4.36,20.47,1.66,0.37,8.44,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
45.91


5-Day
50.61


8-Day
38.31





60.36
"
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14,"1,323.27",18.05,53.57,150.00,1,56.29,3.92,13.5,1.32,2.12,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
34.71


5-Day
29.42


8-Day
25.59





36.62
"
https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tataconsumerproducts/TT,"33,079.10",93.66,48.30,250.00,1,56.29,3.83,85.81,7.43,0.70,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
53.87


5-Day
56.01


8-Day
55.26





52.55
"
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataelxsi/TE,"4,880.29",19.09,175.03,165.00,1,18.35,41.12,16.33,4.48,2.11,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
15.53


5-Day
18.29


8-Day
21.38





20.51
"
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/tatainvestmentcorporation/TIC,"3,465.78",27.42,1545.64,200.00,1,23.11,25.06,27.41,0.44,2.92,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
52.29


5-Day
53.29


8-Day
29.11





50.16
"
https://www.moneycontrol.com/india/stockpricequote/steelpigiron/tatametaliks/TM,"1,198.39",7.85,273.13,35.00,1,6.47,54.57,5.7,1.56,0.82,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
44.76


5-Day
38.75


8-Day
47.41





41.09
"
